"gid","linearid","fullname","mtfcc","geom"
1,"11020239500","Norfolk Southern Rlwy","R1011","0105000020E610000001000000010200000005000000CDCB61F71DDE53C095641D8EAEB841407667EDB60BDE53C0D1AC6C1FF2B841406477819202DE53C0DF4DB7EC10B941406FBA6587F8DD53C0E31071732AB94140F25EB532E1DD53C0BD8DCD8E54B94140"
2,"11020239501","Norfolk Southern Rlwy","R1011","0105000020E610000001000000010200000006000000F25EB532E1DD53C0BD8DCD8E54B94140E0F60489EDDD53C0AFEC82C135B94140F6B9DA8AFDDD53C0976DA7AD11B94140749483D904DE53C0CC0C1B65FDB841401FA1664815DE53C061C5A9D6C2B84140CDCB61F71DDE53C095641D8EAEB84140"
3,"11020239503","Norfolk Southern Rlwy","R1011","0105000020E610000001000000010200000038000000F25EB532E1DD53C0BD8DCD8E54B94140AD174339D1DD53C008BC934F8FB941407DA7C98CB7DD53C09981CAF8F7B94140268DD13AAADD53C098F5622827BA4140AB07CC43A6DD53C0AE9E93DE37BA41404165FCFB8CDD53C036AD1402B9BA414035B401D880DD53C0722F302B14BB41402460747973DD53C03BA92F4B3BBB41406E4C4F58E2DC53C01E300F99F2BB4140E9465854C4DC53C05DA626C11BBC414026C45C52B5DC53C0906802452CBC4140C07630629FDC53C045D5AF743EBC41406A4606B98BDC53C0062461DF4EBC414031E5435035DC53C0336953758FBC41401261C3D32BDC53C0BF2500FF94BC41400E81238106DC53C0AB24B20FB2BC4140E04735ECF7DB53C093196F2BBDBC414059A31EA2D1DB53C0A8DF85ADD9BC41408507CDAE7BDB53C0CF6740BD19BD414043AA285E65DB53C0739D465A2ABD414001840F255ADB53C0A4A65D4C33BD41404DBD6E1118DB53C0A70705A568BD414014CAC2D7D7DA53C059DE550F98BD4140FE47A643A7DA53C02C8194D8B5BD41406DA6423C12DA53C01475E61E12BE4140E63BF88903DA53C04E0B5EF415BE41400A9E42AED4D953C06F1118EB1BBE4140E864A9F57ED953C0FDBAD39D27BE4140CF6394675ED953C01855867137BE4140DA3BA3AD4AD953C0F3AE7AC03CBE41402A7288B839D953C0326ABE4A3EBE414050FF59F3E3D853C081751C3F54BE4140654E97C5C4D853C0EB8F300C58BE4140C6A17E17B6D853C0D4EC815660BE41407F87A2409FD853C0B371C45A7CBE41407EA1478C9ED853C09B1551137DBE4140156D8E739BD853C05E7B664980BE4140DAA2CC0699D853C09811DE1E84BE41405FB532E197D853C02C27A1F485BE4140A966D65240D853C0606D8C9DF0BE4140D55C6E30D4D753C0FC372F4E7CBF4140D9AED007CBD753C0FE756EDA8CBF41404E5AB8ACC2D753C03ECF9F36AABF4140D135936FB6D753C0E45FCB2BD7BF41404715C5ABACD753C0148C4AEA04C04140E619FB928DD753C0B9287AE063C04140EAC9FCA36FD753C0817A336ABEC0414011A1116C5CD753C0CB4065FCFBC04140FC1186014BD753C0B282DF8618C14140251DE56036D753C0CFA10C5531C14140F90B3D62F4D653C068C4CC3E8FC14140B8162D40DBD653C056B08D78B2C14140C340D7BE80D653C047205ED72FC24140D122DBF97ED653C0E7E3DA5031C241401DA33CF372D653C0E6853B1746C2414095218E7571D653C0484739984DC24140"
4,"11020239575","Seaboard Coast Line RR","R1011","0105000020E610000001000000010200000005000000CFF6E80DF7DB53C0648EE55DF58E4140A89F3715A9DB53C09DB30584D68F4140D971C3EFA6DB53C0701C78B5DC8F41406FD234289ADB53C0F942C879FF8F4140409C871398DB53C0976A662D05904140"
5,"11020239576","Seaboard Coast Line RR","R1011","0105000020E61000000100000001020000002300000028F224E99ADE53C0FBE07CEA58874140606BB6F292DE53C0EEE714E467874140B94BE2AC88DE53C07F4A95287B874140E6ABE46377DE53C0AAED26F8A6874140BE29AC5450DE53C065E256410C884140397F130A11DE53C0737B4963B488414061360186E5DD53C057EC2FBB278941409CF7FF71C2DD53C05708ABB1848941402E8507CDAEDD53C09B58E02BBA894140FE0DDAAB8FDD53C0DA8D3EE6038A414045D8F0F44ADD53C07500C45DBD8A41401E49490F43DD53C00072C284D18A4140519ACDE330DD53C01CB4571F0F8B4140C4758C2B2EDD53C0BEB51325218B4140673D7C9928DD53C046E867EA758B4140B56FEEAF1EDD53C0345EBA490C8C41406854E0641BDD53C0B548DA8D3E8C41409EC9FE791ADD53C0DFC4909C4C8C4140751C3F541ADD53C0F09D98F5628C414021C2BF081ADD53C0BBADF4DA6C8C4140CCC8207711DD53C03A3602F1BA8C4140864D64E602DD53C033B91803EB8C4140967A1684F2DC53C0235E9ECE158D41409E55664AEBDC53C09F34D428248D414086747808E3DC53C0037B4CA4348D4140FAEB1516DCDC53C014376E313F8D414001DD9733DBDC53C0740B5D89408D4140F881AB3C81DC53C02E573F36C98D4140A548BE1248DC53C02A86AB03208E41409949D40B3EDC53C04E452A8C2D8E4140A97D3A1E33DC53C041058717448E414063027E8D24DC53C07265506D708E4140A9A44E4013DC53C08B69A67B9D8E414029FEEF880ADC53C0415BCEA5B88E4140CFF6E80DF7DB53C0648EE55DF58E4140"
