"gid","linearid","fullname","rttyp","mtfcc","geom"
1,"1104430641961","State Hwy 42","S","S1100","0105000020E61000000100000001020000001B00000080936DE00E5656C04D2F3196E95B3F40A6CEA3E2FF5556C0CE3637A6275C3F40B81CAF40F45556C0B4E6C75F5A5C3F4026BD6F7CED5556C0CE691668775C3F403CF88903E85556C0D1601A868F5C3F4037A3E6ABE45556C055F487669E5C3F40E6E44526E05556C081919735B15C3F4021C66B5ED55556C0852AFC19DE5C3F40855451BCCA5556C0FF0241800C5D3F409E909DB7B15556C0D2A414747B5D3F40934A7842AF5556C0A62EE065865D3F404B33DDEBA45556C0E33C635FB25D3F40A143E048A05556C03E2AC58EC65D3F4083BC1E4C8A5556C093382BA2265E3F407EFFE6C5895556C08B135FED285E3F40D8648D7A885556C0293BFDA02E5E3F40F597DD93875556C0753C66A0325E3F402B0DFCA8865556C0BD3DCF9F365E3F40569DD5027B5556C0BE49D3A0685E3F40D30CA9A2785556C04B27D9EA725E3F40442FA3586E5556C04389963C9E5E3F402D3883BF5F5556C0A8CC94D6DF5E3F40C398F4F7525556C026E78BBD175F3F40A1D9756F455556C09A1F7F69515F3F40BBB72231415556C03B213B6F635F3F40BB404981055556C040E1B37570603F40B356B439CE5456C02561A6ED5F613F40"
2,"1104430639695","State Hwy 42","S","S1100","0105000020E6100000010000000102000000140000009657AEB7CD5456C014F032C346613F4088670932025556C0F65AD07B63603F408021AB5B3D5556C031225168595F3F4026A25F5B3F5556C0355A0EF4505F3F404E04711E4E5556C0F0845E7F125F3F40E102D0285D5556C0361B2B31CF5E3F403B71395E815556C0A949F086345E3F40926E4BE4825556C0419770E82D5E3F40449DB987845556C0D127B9C3265E3F40DE89592F865556C022C9737D1F5E3F4065FA25E2AD5556C0EC384547725D3F4024E7C41EDA5556C01F895E46B15C3F40D6FB8D76DC5556C0158A743FA75C3F40496249B9FB5556C0895A9A5B215C3F406E895C70065656C07747C66AF35B3F40B9D8B452085656C0BA6E1118EB5B3F405E79909E225656C0960E9D9E775B3F401F43C70E2A5656C0D63EE42D575B3F40E3DC26DC2B5656C0812BA0504F5B3F409C9B36E3345656C05CA96741285B3F40"
3,"1108296451323","State Hwy 67","S","S1100","0105000020E610000001000000010200000005000000BF92AB58FC1F56C044DFDDCA129345402F134548DD1F56C0ABDC0BCC0A934540399A232BBF1F56C03F6D54A7039345401740F850A21F56C0D1FD9C82FC9245406776DD5B911F56C0B580D07AF8924540"
4,"1108296451337","State Hwy 67","S","S1100","0105000020E6100000010000000102000000040000004848A46DFC1F56C052910A630B93454021AF0793E21F56C09093895B05934540399A232BBF1F56C0D1FD9C82FC9245405A492BBEA11F56C00943E4F4F5924540"
5,"1109097223373","State Hwy 114","S","S1100","0105000020E610000001000000010200000015010000C24F1C40BF4B58C02D03CE52B27E404026DBC01DA84B58C0BCA60705A57E4040AC8905BEA24B58C00BACE3F8A17E4040EEC682C2A04B58C090BE49D3A07E4040DFC325C79D4B58C03C98141F9F7E4040E87E4E417E4B58C0DA85E63A8D7E4040BFE8F2E6704B58C033182312857E404015F6B4C35F4B58C0AA2B9FE5797E4040737973B8564B58C0949F54FB747E4040B8382A37514B58C0A872DA53727E40405D9CF86A474B58C0F7DF4A766C7E4040F76BB2463D4B58C00D1B65FD667E40403B11C479384B58C0C1E5B166647E40409DCF807A334B58C092C9A99D617E4040BE64E3C1164B58C0D76B7A50507E4040779B374E0A4B58C0771211FE457E40406FD74B53044B58C0EB556474407E4040B9533A58FF4A58C06456EF703B7E4040E4D022DBF94A58C031E54350357E40409E724C16F74A58C0CE876709327E4040B984436FF14A58C08ADF14562A7E4040EA707495EE4A58C0FDEE1D35267E4040AC1DC539EA4A58C04E5C8E57207E4040F908FCE1E74A58C0273108AC1C7E4040C763062AE34A58C03126FDBD147E4040573ECBF3E04A58C033C2DB83107E4040B4739A05DA4A58C0CF13CFD9027E4040B9DC60A8C34A58C0B9DFA128D07D4040962023A0C24A58C01F0DA7CCCD7D4040DC611399B94A58C00C0055DCB87D4040B3024356B74A58C0A3198BA6B37D404067B3EA73B54A58C0D6390664AF7D404077B306EFAB4A58C099999999997D4040F196AB1F9B4A58C0CB6262F3717D404065C0594A964A58C09013268C667D404048DBF813954A58C0C0FF56B2637D40406452431B804A58C0E595EB6D337D4040A167B3EA734A58C0E6F7FD9B177D404046E5266A694A58C029ADBF25007D40406C718DCF644A58C0B8E864A9F57C40401A170E84644A58C0713C9F01F57C4040EAAC16D8634A58C02F815B77F37C404047AE9B525E4A58C007D15AD1E67C4040F9449E245D4A58C019A4E029E47C4040780261A7584A58C05B423EE8D97C40404626E0D7484A58C0325871AAB57C4040CABA7F2C444A58C03DE94482A97C4040AF3DB324404A58C0EB71DF6A9D7C4040E04389963C4A58C098FA7953917C40408E1D54E23A4A58C0580F5F268A7C404097A77345294A58C0BA809719367C4040084FE8F5274A58C010DF89592F7C4040347EE195244A58C0421669E21D7C40402BD49AE61D4A58C08A03E8F7FD7B4040BD4A3E76174A58C09F6CCA15DE7B404006280D350A4A58C09CBAF2599E7B4040497F2F85074A58C0CD55F31C917B4040C93CF207034A58C0BC69FAEC807B404047FAB48AFE4958C0824E081D747B40401F9BE447FC4958C0B5A2CD716E7B40401A2C9CA4F94958C04EF04DD3677B4040F1B22616F84958C073620FED637B4040A228D027F24958C0D381ACA7567B4040DD8E705AF04958C05DB9DE36537B4040C2DD59BBED4958C078B130444E7B4040FA3C4679E64958C0A28FF980407B4040F1785A7EE04958C06DC9AA08377B4040FAB7CB7EDD4958C0D91B7C61327B4040CBCF0D4DD94958C0590D897B2C7B4040279D4830D54958C021AB5B3D277B4040653733FAD14958C0461D1D57237B4040FF6E8104C54958C070C79BFC167B4040F60B76C3B64958C035785F950B7B4040ACC090D5AD4958C00207B474057B4040143C855CA94958C0510C9068027B404010018750A54958C082F8C08EFF7A40401C8F19A88C4958C09816F549EE7A40400803CFBD874958C0B1DAFCBFEA7A40408D7DC9C6834958C0715303CDE77A404015FC36C4784958C01B40BFEFDF7A4040861E317A6E4958C09C6516A1D87A4040907BBABA634958C04852D2C3D07A4040774CDD955D4958C014ADDC0BCC7A4040878043A8524958C0F40EB743C37A40400281CEA44D4958C0262F3201BF7A404005854199464958C06631B1F9B87A40400D12A27C414958C001081F4AB47A4040E05D2EE23B4958C0FA298E03AF7A404065D828EB374958C0F017B325AB7A40406E4BE482334958C03F51D9B0A67A4040836C59BE2E4958C0CBBC55D7A17A4040909C4CDC2A4958C0503750E09D7A4040C1A2224E274958C075A911FA997A4040ACFC3218234958C0A20C5531957A40403D25E7C41E4958C0BB04A73E907A404087A1D5C9194958C0EE586C938A7A4040F5D901D7154958C01BBCAFCA857A40407A54FCDF114958C0471FF301817A40408C4127840E4958C048BBD1C77C7A4040F23AE2900D4958C08ADEA9807B7A4040E4857478084958C0CFD1AA96747A40402006BAF6054958C0191A4F04717A404064DF15C1FF4858C04CD6A887687A4040D908C4EBFA4858C0A3349BC7617A4040F20016F9F54858C0064147AB5A7A4040203EB0E3BF4858C099232BBF0C7A4040C5FCDCD0944858C0BFD02346CF79404057CB9D99604858C03045B9347E79404054A18158364858C0127EA99F3779404018E76F42214858C0C876BE9F1A7940405E5CAAD2164858C0276211C30E79404081E15CC30C4858C02254A9D903794040A7397991094858C0E2CCAFE6007940409602D2FE074858C024F0879FFF7840409563B2B8FF4758C03F506EDBF778404085AE44A0FA4758C01168B0A9F37840403B2F151BF34758C0734012F6ED7840404F36E50AEF4758C0E05E99B7EA78404022827170E94758C0B833130CE77840403C601E32E54758C0EA1F4432E478404003CAA65CE14758C0F14410E7E17840401705C1E3DB4758C08DE733A0DE7840400936AE7FD74758C0112EE411DC7840400BD28C45D34758C01953B0C6D9784040AF0111E2CA4758C0E0BC38F1D57840403766D993C04758C0E15817B7D178404070AB2006BA4758C0770AB952CF784040947EC2D9AD4758C07E63CF9ECB784040A2AEB5F7A94758C057D0B4C4CA7840409FC1A6CEA34758C099F38C7DC9784040503750E09D4758C0FEEC478AC87840401402B9C4914758C041102043C778404046D1031F834758C017B14F00C57840403193A8177C4758C0D0048A58C478404046B41D53774758C03CBB7CEBC37840405F7825C9734758C0067AA86DC37840409FE238F06A4758C0E8944737C2784040B403AE2B664758C0145CACA8C1784040B85510035D4758C0976E1283C0784040E7543200544758C0CDE33098BF784040FA2477D8444758C0084AD1CABD784040BBEB6CC83F4758C03211363CBD784040CA2C42B1154758C03C9E961FB8784040E23785950A4758C00D4E44BFB678404056957D57044758C044C362D4B578404083DE1B43004758C0EBABAB02B5784040CC74AF93FA4658C0CDC64ACCB3784040D3997B48F84658C026124C35B37840404106F2ECF24658C0C93D5DDDB1784040D78349F1F14658C0465F419AB1784040BB202235ED4658C0A69BC420B0784040C81CCBBBEA4658C04B840D4FAF784040BEF04A92E74658C01286014BAE784040FA3C4679E64658C04EB857E6AD78404096C5C4E6E34658C053A9D903AD78404035B6D782DE4658C0AD282504AB78404030957EC2D94658C01A13622EA97840403A22DFA5D44658C0C12FF5F3A678404035E7E099D04658C0BCA60705A5784040CCCCCCCCCC4658C02991442FA3784040EB67B114C94658C0B3942C27A178404037FE4465C34658C09CD497A59D7840408F4946CEC24658C0D806EE409D784040A90D4E44BF4658C010B056ED9A7840404DD53DB2B94658C0C4AEEDED9678404055629E95B44658C05A94D92093784040520DFB3DB14658C06E675F7990784040D787F546AD4658C0C91AF5108D7840402104E44BA84658C018541B9C88784040A67EDE54A44658C0AF3907CF84784040F5B704E09F4658C0BD839F38807840403929CC7B9C4658C0183735D07C7840408157CB9D994658C0673C11C4797840405912A0A6964658C0F273435376784040E349D235934658C02594BE10727840406E675F79904658C03E58C6866E784040F3AD0FEB8D4658C0571CCEFC6A784040D5FCF84B8B4658C08FF98040677840401F459DB9874658C0B59F8CF161784040A4D93C0E834658C0D2FF722D5A7840407B2C7DE8824658C01E9DBAF2597840400C21E7FD7F4658C0D98CD31055784040E2C116BB7D4658C01C1840F850784040D270CADC7C4658C00DE198654F784040673C11C4794658C0EBDADE6E49784040AD49B725724658C0950ED6FF39784040DE1B4300704658C0B5C35F9335784040B73EAC376A4658C0A46FD23428784040E7F692C6684658C0ACC8E88024784040C267EBE0604658C03E70952710784040C98CB7955E4658C0EFE53E390A7840408FDC9A745B4658C070732A1900784040D34D6210584658C021516859F77740408718AF79554658C079AF5A99F0774040D651D504514658C09C685721E57740401E662FDB4E4658C03F30478FDF7740402C4833164D4658C07DFE7BF0DA774040321F10E84C4658C049BDA772DA7740407919C5724B4658C0DFA293A5D6774040C1137AFD494658C04704E3E0D27740402DC72B103D4658C0F9DB9E20B17740403EAA61BF274658C092E9D0E9797740407AF65CA6264658C0925165187777404054302AA9134658C00CAA0D4E4477404037656EBE114658C014376E313F774040262EC72B104658C0E84EB0FF3A774040AB402D060F4658C07E349C32377740401188D7F50B4658C0CA181F662F7740404DD4D2DC0A4658C0590D897B2C7740408F1150E1084658C0D40D1478277740408597E0D4074658C046E9D2BF24774040F658FAD0054658C00D87A5811F7740400A462575024658C0B2B6291E1777404097FC4FFEEE4558C000F73C7FDA7640401CAB949EE94558C0010EA14ACD7640401BD82AC1E24558C0F221A81ABD76404077279F1EDB4558C077B306EFAB764040EC9E3C2CD44558C0A94E07B29E76404085ECBC8DCD4558C06CFFCA4A93764040D0048A58C44558C0AF3907CF8476404099D6A6B1BD4558C0A36E675F79764040415BCEA5B84558C08A592F8672764040A888D349B64558C0966F7D586F764040C871A774B04558C0A5ED5F5969764040584C6C3EAE4558C0AD122C0E67764040A67EDE54A44558C0DC4598A25C764040D05CA791964558C030B77BB94F764040BDA085048C4558C0A42E19C748764040A97CCF48844558C0845CA96741764040798A1C226E4558C0981249F432764040BD2F2E55694558C00431D0B52F764040A8893E1F654558C0B8FB1C1F2D764040106DC7D45D4558C00EF27A3029764040B1135E82534558C06F9692E52476404027BF45274B4558C07DACE0B721764040463D44A33B4558C02CEE3F321D764040B645990D324558C0E0B88C9B1A76404073CE4F711C4558C036AFEAAC167640405C86FF74034558C071E14048167640407361A417B54458C0F1237EC51A764040762E8CF4A24458C0FE0582001976404043A7E7DD584458C0456117450F764040BCB1A030284458C0A76DC32808764040F1CF0CE2034458C0F68F85E8107640400CC2DCEEE54358C06CDDCD531D7640400AA1832EE14358C0077C7E182176404030957EC2D94358C0878A71FE26764040ABA92C0ABB4358C0A10DC00644764040E636E15E994358C05ED905836B76404077BD3445804358C0EA3713D385764040FDF7E0B54B4358C0FC67CD8FBF764040E9E74D452A4358C0B67A4E7ADF76404052944BE3174358C00CAB7823F37640400853944BE34258C00D535BEA20774040FD0C6FD6E04258C07C923B6C22774040B6291E17D54258C02BF180B229774040B45373B9C14258C063B7CF2A3377404003594FADBE4258C09207228B34774040A02C7C7DAD4258C0BEBB95253A77404037F8C264AA4258C0B10DDC813A77404062416150A64258C0F2C81F0C3C7740403659A31EA24258C0B2D991EA3B774040243CA1D79F4258C00AF148BC3C77404026D87F9D9B4258C00300C79E3D77404055D7A19A924258C04AAC8C463E774040234C512E8D4258C0FE0E45813E77404057703FE0814258C0E51A66683C774040F7E28BF6784258C0F2C81F0C3C774040E0085229764258C06A2DCC423B77404048810530654258C0660C738236774040DF2F664B564258C088F546AD307740400133DFC14F4258C07235B22B2D774040972F2FC03E4258C08840F50F22774040BA809719364258C0EB4CA1F31A7740402534492C294258C0D237691A1477404028D027F2244258C010069E7B0F77404030D80DDB164258C0F6D37FD6FC764040"
